work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2025.0,Data Storyteller,Data Communication,USD,105000.0,105000.0,United States,Mid,Full-time,Remote,"Portland, OR",Small
2025.0,Senior Data Engineer,Data Engineering,CHF,135000.0,161000.0,Switzerland,Senior,Full-time,Hybrid,Geneva,Large
2025.0,Fraud Detection Analyst,Fraud Detection,USD,92000.0,92000.0,United States,Entry,Full-time,In-person,"Phoenix, AZ",Medium
2025.0,AI Product Owner,Product Management,EUR,88000.0,93300.0,Germany,Mid,Full-time,Remote,Hamburg,Large
2025.0,Data Scientist,Data Science,CZK,1450000.0,62800.0,Czech Republic,Mid,Full-time,Hybrid,Prague,Medium
2025.0,Machine Learning Operations Engineer,MLOps,USD,158000.0,158000.0,United States,Mid,Full-time,In-person,"Seattle, WA",Large
2025.0,Junior Business Intelligence Analyst,Business Intelligence,CAD,68000.0,50100.0,Canada,Entry,Part-time,Remote,Halifax,Small
2025.0,Data Architecture Consultant,Data Architecture,USD,185000.0,185000.0,United States,Senior,Contract,Remote,"Dallas, TX",Medium
2025.0,Computational Biologist,Computational Biology,USD,142000.0,142000.0,United States,Mid,Full-time,Hybrid,"Boston, MA",Large
2025.0,Data Scientist,Data Science,HUF,18500000.0,48200.0,Hungary,Entry,Full-time,In-person,Budapest,Medium
2025.0,AI Governance Specialist,AI Governance,USD,155000.0,155000.0,United States,Mid,Full-time,Remote,"San Francisco, CA",Large
2025.0,Senior Quantitative Developer,Quantitative Development,GBP,95000.0,119200.0,United Kingdom,Senior,Full-time,Hybrid,London,Large
2025.0,Data Pipeline Engineer,Data Engineering,USD,128000.0,128000.0,United States,Mid,Full-time,In-person,"Chicago, IL",Medium
2025.0,Machine Learning Engineer,Machine Learning,THB,1850000.0,52800.0,Thailand,Mid,Full-time,Remote,Bangkok,Large
2025.0,Customer Analytics Specialist,Customer Analytics,USD,115000.0,115000.0,United States,Mid,Full-time,Hybrid,"Atlanta, GA",Medium
2025.0,Data Science Evangelist,Data Science,USD,138000.0,138000.0,United States,Mid,Full-time,Remote,"San Jose, CA",Large
2025.0,Junior Data Engineer,Data Engineering,EUR,45000.0,47700.0,Portugal,Entry,Full-time,In-person,Lisbon,Small
2025.0,AI Research Director,Artificial Intelligence,USD,295000.0,295000.0,United States,Senior,Full-time,Hybrid,"Palo Alto, CA",Large
2025.0,Marketing Data Analyst,Marketing Analytics,USD,82000.0,82000.0,United States,Entry,Full-time,Remote,"Milwaukee, WI",Medium
2025.0,Data Scientist,Data Science,TWD,1650000.0,50500.0,Taiwan,Mid,Full-time,In-person,Taipei,Large
2025.0,Machine Learning Platform Architect,Machine Learning,USD,195000.0,195000.0,United States,Senior,Full-time,Hybrid,"Austin, TX",Large
2025.0,Data Compliance Officer,Data Compliance,CAD,105000.0,77400.0,Canada,Mid,Full-time,Remote,Quebec City,Medium
2025.0,Sports Analytics Specialist,Sports Analytics,USD,98000.0,98000.0,United States,Mid,Full-time,In-person,"New York, NY",Small
2025.0,Senior AI Consultant,Artificial Intelligence,AUD,145000.0,95700.0,Australia,Senior,Contract,Remote,Perth,Medium
2025.0,Data Scientist,Data Science,RUB,4200000.0,43500.0,Russia,Entry,Full-time,Hybrid,Moscow,Large
2025.0,Financial Data Analyst,Financial Analytics,USD,108000.0,108000.0,United States,Mid,Full-time,In-person,"Charlotte, NC",Large
2025.0,Machine Learning Engineer,Machine Learning,USD,172000.0,172000.0,United States,Mid,Full-time,Remote,"San Francisco, CA",Medium
2025.0,Data Warehouse Specialist,Data Warehousing,GBP,68000.0,85400.0,United Kingdom,Mid,Full-time,Hybrid,Glasgow,Medium
2025.0,AI Ethics Consultant,AI Ethics,USD,148000.0,148000.0,United States,Mid,Contract,Remote,"Boston, MA",Small
2025.0,Data Scientist,Data Science,TRY,1250000.0,36800.0,Turkey,Entry,Full-time,In-person,Istanbul,Medium
2025.0,Senior Data Product Manager,Product Management,USD,205000.0,205000.0,United States,Senior,Full-time,Hybrid,"Seattle, WA",Large
2025.0,Healthcare Data Analyst,Healthcare Analytics,USD,89000.0,89000.0,United States,Entry,Full-time,Remote,"Indianapolis, IN",Large
2025.0,Edge AI Engineer,Edge Computing,USD,178000.0,178000.0,United States,Mid,Full-time,Hybrid,"San Francisco, CA",Large
2025.0,Data Scientist,Data Science,ARS,28500000.0,28500.0,Argentina,Entry,Full-time,Remote,Buenos Aires,Medium
2025.0,Quantum Machine Learning Researcher,Quantum Computing,USD,245000.0,245000.0,United States,Senior,Full-time,In-person,"Boston, MA",Large
2025.0,Data Mesh Architect,Data Architecture,EUR,92000.0,97500.0,Austria,Senior,Full-time,Hybrid,Vienna,Large
2025.0,Junior Data Scientist,Data Science,CLP,42000000.0,43200.0,Chile,Entry,Full-time,Remote,Santiago,Medium
2025.0,AI Alignment Researcher,AI Safety,USD,215000.0,215000.0,United States,Senior,Full-time,Remote,"Berkeley, CA",Large
2025.0,Data Observability Engineer,Data Engineering,USD,142000.0,142000.0,United States,Mid,Full-time,Hybrid,"Denver, CO",Medium
2025.0,Machine Learning Engineer,Machine Learning,PHP,2850000.0,50800.0,Philippines,Mid,Full-time,In-person,Manila,Large
2025.0,Conversational AI Developer,Natural Language Processing,USD,165000.0,165000.0,United States,Mid,Full-time,Remote,"Seattle, WA",Large
2025.0,Data Science Researcher,Research,CHF,118000.0,140700.0,Switzerland,Mid,Full-time,Hybrid,Basel,Medium
2025.0,Climate Data Analyst,Environmental Analytics,USD,95000.0,95000.0,United States,Entry,Full-time,Remote,"Boulder, CO",Small
2025.0,Senior MLOps Engineer,Machine Learning Operations,GBP,85000.0,106700.0,United Kingdom,Senior,Full-time,In-person,London,Large
2025.0,Data Scientist,Data Science,COP,185000000.0,42300.0,Colombia,Mid,Full-time,Hybrid,Bogotá,Medium
2025.0,Federated Learning Engineer,Federated Learning,USD,188000.0,188000.0,United States,Mid,Full-time,Remote,"Austin, TX",Large
2025.0,Junior Analytics Engineer,Analytics,EUR,48000.0,50900.0,Ireland,Entry,Full-time,In-person,Dublin,Medium
2025.0,Data Monetization Specialist,Data Strategy,USD,155000.0,155000.0,United States,Mid,Full-time,Hybrid,"New York, NY",Large
2025.0,Robotics Data Scientist,Robotics,USD,172000.0,172000.0,United States,Mid,Full-time,In-person,"Pittsburgh, PA",Large
2025.0,Data Scientist,Data Science,VND,1250000000.0,50200.0,Vietnam,Entry,Full-time,Remote,Ho Chi Minh City,Medium
2025.0,AI Fairness Engineer,AI Ethics,USD,158000.0,158000.0,United States,Mid,Full-time,Hybrid,"San Francisco, CA",Large
2025.0,Senior Data Strategist,Data Strategy,CAD,138000.0,101700.0,Canada,Senior,Full-time,Remote,Vancouver,Large
2025.0,Synthetic Data Engineer,Data Engineering,USD,148000.0,148000.0,United States,Mid,Full-time,In-person,"Boston, MA",Medium
2025.0,Machine Learning Engineer,Machine Learning,MYR,195000.0,43600.0,Malaysia,Mid,Full-time,Hybrid,Kuala Lumpur,Large
2025.0,Data Lineage Specialist,Data Governance,USD,125000.0,125000.0,United States,Mid,Full-time,Remote,"Chicago, IL",Medium
2025.0,Autonomous Vehicle Data Scientist,Autonomous Systems,USD,195000.0,195000.0,United States,Senior,Full-time,Hybrid,"Detroit, MI",Large
2025.0,Junior Data Analyst,Data Analysis,EGP,850000.0,27200.0,Egypt,Entry,Full-time,In-person,Cairo,Medium
2025.0,Graph Data Scientist,Graph Analytics,USD,168000.0,168000.0,United States,Mid,Full-time,Remote,"San Jose, CA",Large
2025.0,Data Science Architect,Data Science,AUD,135000.0,89100.0,Australia,Senior,Full-time,Hybrid,Adelaide,Medium
2025.0,Machine Learning Engineer,Machine Learning,IDR,785000000.0,49800.0,Indonesia,Entry,Full-time,In-person,Jakarta,Large
2025.0,Causal Inference Scientist,Causal Analysis,USD,185000.0,185000.0,United States,Senior,Full-time,Remote,"Stanford, CA",Large
2025.0,Data Ethics Officer,Data Ethics,EUR,78000.0,82700.0,Finland,Mid,Full-time,Hybrid,Helsinki,Large
2025.0,Time Series Analyst,Time Series Analysis,USD,118000.0,118000.0,United States,Mid,Full-time,In-person,"Minneapolis, MN",Medium
2025.0,Senior AI Product Manager,Product Management,ILS,485000.0,133000.0,Israel,Senior,Full-time,Remote,Haifa,Large
2025.0,Data Scientist,Data Science,PKR,8500000.0,30500.0,Pakistan,Entry,Full-time,Hybrid,Karachi,Medium
2025.0,Reinforcement Learning Engineer,Reinforcement Learning,USD,198000.0,198000.0,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025.0,Junior Data Engineer,Data Engineering,RON,185000.0,39800.0,Romania,Entry,Full-time,Remote,Bucharest,Small
2025.0,Data Catalog Manager,Data Management,USD,135000.0,135000.0,United States,Mid,Full-time,Hybrid,"Atlanta, GA",Medium
2025.0,IoT Data Analyst,IoT Analytics,USD,108000.0,108000.0,United States,Mid,Full-time,Remote,"Austin, TX",Medium
2025.0,Machine Learning Engineer,Machine Learning,BGN,95000.0,52800.0,Bulgaria,Mid,Full-time,In-person,Sofia,Medium
2025.0,Explainable AI Specialist,Explainable AI,USD,175000.0,175000.0,United States,Mid,Full-time,Hybrid,"Seattle, WA",Large
2025.0,Data Science Consultant,Data Science,NZD,125000.0,75000.0,New Zealand,Senior,Contract,Remote,Wellington,Small
2025.0,Multimodal AI Engineer,Multimodal AI,USD,188000.0,188000.0,United States,Mid,Full-time,In-person,"Palo Alto, CA",Large
2025.0,Senior Data Analyst,Data Analysis,HRK,385000.0,54200.0,Croatia,Senior,Full-time,Hybrid,Zagreb,Medium
2025.0,Data Scientist,Data Science,LKR,4850000.0,15800.0,Sri Lanka,Entry,Full-time,Remote,Colombo,Small
2025.0,Neural Architecture Search Engineer,Neural Networks,USD,205000.0,205000.0,United States,Senior,Full-time,Remote,"Boston, MA",Large
2025.0,Data Transformation Specialist,Data Engineering,CAD,98000.0,72200.0,Canada,Mid,Full-time,In-person,Saskatoon,Medium
2025.0,Recommendation Systems Engineer,Recommendation Systems,USD,165000.0,165000.0,United States,Mid,Full-time,Hybrid,"San Francisco, CA",Large
2025.0,Machine Learning Engineer,Machine Learning,UAH,1850000.0,44500.0,Ukraine,Mid,Full-time,Remote,Kyiv,Medium
2025.0,Data Science Team Lead,Data Science,USD,215000.0,215000.0,United States,Senior,Full-time,In-person,"New York, NY",Large
2025.0,Junior Business Analyst,Business Intelligence,LTL,48000.0,48000.0,Lithuania,Entry,Full-time,Hybrid,Vilnius,Small
2025.0,Anomaly Detection Specialist,Anomaly Detection,USD,145000.0,145000.0,United States,Mid,Full-time,Remote,"Chicago, IL",Medium
2025.0,Neuromorphic Computing Specialist,Neuromorphic Computing,USD,225000.0,225000.0,United States,Senior,Full-time,In-person,"San Jose, CA",Large
2025.0,Data Scientist,Data Science,BDT,2850000.0,26500.0,Bangladesh,Entry,Full-time,Remote,Dhaka,Medium
2025.0,Digital Twin Data Engineer,Digital Twin,USD,168000.0,168000.0,United States,Mid,Full-time,Hybrid,"Detroit, MI",Large
2025.0,Blockchain Data Analyst,Blockchain Analytics,EUR,68000.0,72100.0,Estonia,Mid,Full-time,Remote,Tallinn,Medium
2025.0,Junior Data Scientist,Data Science,GEL,85000.0,31200.0,Georgia,Entry,Full-time,In-person,Tbilisi,Small
2025.0,Swarm Intelligence Researcher,Swarm Intelligence,USD,195000.0,195000.0,United States,Senior,Full-time,Hybrid,"Boston, MA",Large
2025.0,Data Fabric Architect,Data Architecture,USD,185000.0,185000.0,United States,Senior,Full-time,Remote,"Austin, TX",Large
2025.0,Machine Learning Engineer,Machine Learning,KZT,12500000.0,25800.0,Kazakhstan,Mid,Full-time,In-person,Almaty,Medium
2025.0,Metaverse Data Scientist,Metaverse Analytics,USD,175000.0,175000.0,United States,Mid,Full-time,Hybrid,"San Francisco, CA",Large
2025.0,Data Science Instructor,Education,CAD,88000.0,64900.0,Canada,Mid,Part-time,Remote,Toronto,Small
2025.0,Cognitive Computing Engineer,Cognitive Computing,USD,188000.0,188000.0,United States,Mid,Full-time,In-person,"Armonk, NY",Large
2025.0,Senior Data Analyst,Data Analysis,ISK,8500000.0,61200.0,Iceland,Senior,Full-time,Hybrid,Reykjavik,Medium
2025.0,Data Scientist,Data Science,NPR,3250000.0,24100.0,Nepal,Entry,Full-time,Remote,Kathmandu,Small
2025.0,Homomorphic Encryption Specialist,Privacy Computing,USD,215000.0,215000.0,United States,Senior,Full-time,Remote,"Seattle, WA",Large
2025.0,Junior MLOps Engineer,Machine Learning Operations,EUR,52000.0,55100.0,Latvia,Entry,Full-time,In-person,Riga,Medium
2025.0,Spatial Data Scientist,Geospatial Analytics,USD,135000.0,135000.0,United States,Mid,Full-time,Hybrid,"Boulder, CO",Medium
